MW-10	31.71	31.68	0.03	decreased since 2010 max of 2.35 feet	"6"" HSA "	20	42	22	10.32	silt
MW-11A	16.24	X	X	clean	HSA 	22	40	18	23.76	
MW-12	23.39	X	X	clean	"6"" HSA "	14	42	28	18.61	silt
MW-13	29.32	X	X	"clean since 2012, max of 0.41 ft"	"6"" HSA "	19.5	43	23.5	13.68	silt
MW-14	25.63	X	X	clean	"6"" HSA "	20	42.5	22.5	16.87	silt
MW-15	17.96	X	X	clean	"6"" HSA "	10	28	18	10.04	silty sand
MW-16	28.55	27.83	0.72	"decreased 2010-2012, rebounded. Max thickness 4.45, min 0.03"	"6"" HSA "	20.5	42.5	22	14.67	silt
MW-19	24.34	X	X	clean	"6"" HSA "	20	43	23	18.66	silt
MW-20A	26.75	X	X	clean	 					
MW-21	23.78	X	X	clean	"6"" HSA "	20	42	22	18.22	"silty sand, sandy silt"
MW-22	26.37	X	X	clean	3.25 inner diameter auger	16.5	39	22.5	12.63	"silt, silty fine sand"
MW-23	29.4	X	X	"clean since 2012, max level 0.31"	3.25 inner diameter auger	23	44	21	14.6	"fine sand with silt, silt"
MW-24	24.74	X	X	clean	3.25 inner diameter auger	20.5	45	24.5	20.26	"fine sand with silt, silt"
MW-26	24.99	X	X	"clean since 2012, max 0.16"	3.25 inner diameter auger	17	39	22	14.01	"silt with sand, silt"
MW-27	29.19	X	X	clean	"6.5"" auger"	20	47	27	17.81	silt/siltstone
MW-28	23.61	X	X	clean	"6.5"" auger"	15	37	22	13.39	"silt, silty sand, siltstone"
MW-29	18.84	X	X	clean	"6.5"" auger"	13	35	22	16.16	silt
MW-30	32.56	X	X	clean	"6.5"" auger"	23	45	22	12.44	silt/siltstone
MW-31	29.37	X	X	clean	"6.5"" auger"	15.5	37.5	22	8.13	silt/siltstone/sandy gravel
MW-3A	32.7	28.05	4.65	increased over time	HSA 	22	40	18	11.95	
MW-4	28.55	27.75	0.8	"fluctuated over time, some decrease, max 3 ft"	"6"" FA "	26	43	17	15.25	silt
MW-40	25.84	X	X	clean	 				 	
MW-5	24.68	X	X	"clean since 2011, max 0.37"	"6"" HSA "	18	40	22	15.32	silt
MW-6	24.64	X	X	"clean since 2012, max 1.31"	"6"" HSA "	18	40	22	15.36	silt
MW-7	22.49	X	X	clean	"6"" HSA "	14	40	26	17.51	silt
MW-8A	27.72	X	X	clean						
